,pctwom,male_0,male_1,whexpert_0,whexpert_1,numsess_1,numsess_2,numsess_3,numsess_4,numsess_5,numsess_6,numsess_7,numsess_8,practice_1,practice_2,practice_3,practice_4
0,80,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,35,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,20,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,98,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,60,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,85,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6,75,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
7,35,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
8,75,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
9,75,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
10,50,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
11,85,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
12,95,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
13,50,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
14,95,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
15,80,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
16,80,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
17,35,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
18,75,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
19,60,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
20,90,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
21,95,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
22,45,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
23,90,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
24,30,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
25,55,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
26,95,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
27,20,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
28,80,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
29,70,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
30,80,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
31,70,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
32,60,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
